 ,var,const,;,{,},id,val,=,lire,ecrire,:=,+,-,*,/,(,),$,P,D,D',V,C,I,I',E
0,R3,R3,,,R3,,,R3,R3,,,,,,,,,,E1,,,,,,
1,E8,E9,,,E7,,,E5,E6,,,,,,,,,,,E3,,,E2,E4,
2,,,,,E7,,,E5,E6,,,,,,,,A,,,,,,,E10,
3,R2,R2,,,R2,,,R2,R2,,,,,,,,,,,,,,,,
4,,,,,R11,,,R11,R11,,,,,,,,R11,,,,,,,,
5,,,,,E11,,,,,,,,,,,,,,,,,,,,
6,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E17
7,,,,,,,,,,E12,,,,,,,,,,,,,,,
8,,,,,E14,,,,,,,,,,,,,,,,E13,,,,
9,,,,,E16,,,,,,,,,,,,,,,,,E15,,,
10,,,,,R10,,,R10,R10,,,,,,,,R10,,,,,,,,
11,,,E21,,,,,,,,,,,,,,,,,,,,,,
12,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E22
13,,,E23,E24,,,,,,,,,,,,,,,,,,,,,
14,,,R7,R7,,,,,,,,,,,,,,,,,,,,,
15,,,E25,E26,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,E27,,,,,,,,,,,,,,,,,,
17,,,E28,,,,,,,,E29,E31,E30,E32,,,,,,,,,,,
18,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E33
19,,,R20,,,,,,,,R20,R20,R20,R20,,R20,,,,,,,,,
20,,,R21,,,,,,,,R21,R21,R21,R21,,R21,,,,,,,,,
21,,,,,R12,,,R12,R12,,,,,,,,R12,,,,,,,,
22,,,E34,,,,,,,,E29,E31,E30,E32,,,,,,,,,,,
23,R4,R4,,,R4,,,R4,R4,,,,,,,,,,,,,,,,
24,,,,,E35,,,,,,,,,,,,,,,,,,,,
25,R5,R5,,,R5,,,R5,R5,,,,,,,,,,,,,,,,
26,,,,,E36,,,,,,,,,,,,,,,,,,,,
27,,,,,,E37,,,,,,,,,,,,,,,,,,,
28,,,,,R13,,,R13,R13,,,,,,,,R13,,,,,,,,
29,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E38
30,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E39
31,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E40
32,,,,,E19,E20,,,,,,,,,E18,,,,,,,,,,E41
33,,,,,,,,,,,E29,E31,E30,E32,,E42,,,,,,,,,
34,,,,,R14,,,R14,R14,,,,,,,,R14,,,,,,,,
35,,,R6,R6,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,E43,,,,,,,,,,,,,,,,,,
37,,,R9,R9,,,,,,,,,,,,,,,,,,,,,
38,,,R15,,,,,,,,R15,R15,E30,E32,,R15,,,,,,,,,
39,,,R16,,,,,,,,R16,R16,R16,R16,,R16,,,,,,,,,
40,,,R17,,,,,,,,R17,R17,E30,E32,,R17,,,,,,,,,
41,,,R18,,,,,,,,R18,R18,R18,R18,,R18,,,,,,,,,
42,,,R19,,,,,,,,R19,R19,R19,R19,,R19,,,,,,,,,
43,,,,,,E44,,,,,,,,,,,,,,,,,,,
44,,,R8,R8,,,,,,,,,,,,,,,,,,,,,

